Organization Name,Website,General Email,Founder Email,Country,Mission,Focus,Number of diseases,Rare Disease Focus,Confirmed Nonprofit status,founding_year,stakeholder_type,stakeholder_category,Founder names,Website mentions drug repurposing,Does organization utilize a biobank?,Does organization collect contact info?,Does organization utilize a natural history study/registry?,Does organization utilize a communication discussion platform?,Does organization have a formalized research agenda?,Does organization utilize crowdsourcing for research agenda?,Does organization have an SAB/MAB? ,Does organization have formalized treatment guidelines?,Does organization organize a conference?,"Is organization a member of umbrella organizations (NORD, Global genes, etc)?"
iDefine - Kleefstra Syndrome,https://www.idefine.org/,unlock@idefine.org,N/A,United States of America,"iDefine is a nonprofit organization that exists to provide a central community for families affected by Kleefstra Syndrome (KS). We are here to share information, collaborate for advocacy, and pool resources to support life-changing treatment and intervention. We are committed to unlocking the potential of individuals living with Kleefstra syndrome.

IDefine’s global team has worked to build connections between our KS community and health professionals, inviting collaboration and fueling research for innovative treatments for those affected by this rare genetic condition.

We are intent on accelerating in research through investment and organization while simultaneously building medical expertise to further develop treatment options and care. We are working steadfastly towards a cure for Kleefstra Syndrome as well as other intellectual disabilities.","Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines), New drug development, Drug Repurposing, Fundraising efforts",One specific disease,Kleefstra syndrome,Yes,2021,Unknown,Unknown,N/A,"Drug repurposing is briefly mentioned, but there is not detail. 
Here is the only text that I could find: ""In consultation with our Scientific Advisory Board, we are pursuing the most promising avenues for drug development, and will ""go where the science takes us"". A range of approaches are being reviewed, including small-molecule drug repurposing, small molecule drug development, oligonucleotide-based therapies, and gene therapies.""",Unknown (the organization does not mention a biobank),Yes,"Yes (the organization utilizes a natural history study), Yes (the organization utilizes a natural history registry)",Unknown (the organization does not mention a community discussion platform),Unknown (the organization does not mention a research agenda),Unknown (the organization does not mention crowdsourcing),Yes,Unknown (the organization does not mention treatment guidelines),Yes,"NORD, Global Genes (Rare Foundation Alliance), Chan Zuckerberg Initiative's Rare as One Cohort"
IFAA International Foundation for Autoimmune and Autoinflammatory Arthritis,https://www.aiarthritis.org/,info@AiArthritis.org,N/A,United States of America,"https://www.aiarthritis.org/about-us
Mission
The International Foundation for Autoimmune & Autoinflammatory Arthritis (AiArthritis )  helps those, like us, who are affected by autoimmune and autoinflammatory diseases with arthritis as a major component, use their voices - as equals alongside other stakeholders - to solve problems that impact education, advocacy, and research.

We expand this mission into every project we work on. We always use a patient-led team approach , then enlist the help of other stakeholders and professionals, to produce strong solutions with high impact.   (""Global Network philosophy"").","Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines), Patient financial support (eg. financial assistance for medical travel/expenses, genetic testing, DME costs), External disease awareness, Basic research (how the disease works)",One specific disease,Autoimmune/Autoinflammatory Arthritis,Yes,2016,"Patient, Patient's loved one (parent, spouse, etc)., Researcher, Physician","Patient, Loved one, Researcher, Physician","Tiffany Westrich-Robertson
Kelly Conway
Tami Caskey-Brown",N/A,Unknown (the organization does not mention a biobank),Unknown (the organization does not mention whether they collect this information or not),Unknown (the organization does not mention either),Unknown (the organization does not mention a community discussion platform),Yes,Unknown (the organization does not mention crowdsourcing),Unknown (the organization does not mention a SAB/MAB),Unknown (the organization does not mention treatment guidelines),Yes,Global Genes (Rare Foundation Alliance)
Illinois Spina Bifida Association - Spina Bifida,https://i-sba.org/,info@i-sba.org,N/A,United States of America,"The Illinois Spina Bifida Association works to improve the quality of life of children, adults, and families living with spina bifida.","Patient education (eg. Patient education conferences, continuing educational resources), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines), Patient financial support (eg. financial assistance for medical travel/expenses, genetic testing, DME costs)",One specific disease,Spina Bifida,Yes,1969,"Patient's loved one (parent, spouse, etc).",Loved one,There is a founding story in the Zotero folder.,N/A,Unknown (the organization does not mention a biobank),Yes,Unknown (the organization does not mention either),Unknown (the organization does not mention a community discussion platform),Yes,Unknown (the organization does not mention crowdsourcing),Unknown (the organization does not mention a SAB/MAB),Yes,No (the organization states that they do not have an annual conference),None Listed
Immune Deficiency Foundation,https://primaryimmune.org/,info@primaryimmune.org,N/A,United States of America,"The Immune Deficiency Foundation improves the diagnosis, treatment, and quality of life of people affected by primary immunodeficiency through fostering a community empowered by advocacy, education, and research.","Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones), External disease awareness, Basic research (how the disease works), New drug development, Fundraising efforts, Policy development and advocacy",A set of diseases,They focus on Primary Immunodeficiency which encompasses over 400 rare and chronic conditions where part of the body’s immune system does not exist or does not function correctly.,Yes,1980,"Patient's loved one (parent, spouse, etc).",Loved one,Marcia Boyle,N/A,Unknown (the organization does not mention a biobank),Yes,Unknown (the organization does not mention either),Yes,Unknown (the organization does not mention a research agenda),N/A (the organization doesn't have or doesn't mention a research agenda),Yes,Yes,Unknown (the organization does not mention an annual conference),"NORD, Global Genes (Rare Foundation Alliance), Guidestar, Charity Navigator, RDNetwork"
INADcure Foundation,https://www.inadcure.org/,info@inadcure.com,lpanwala@inadcure.com,United States of America,"to support the development of treatments, including a cure, for Infantile Neuroaxonal Dystrophy (INAD) and other forms of PLA2G6-related neurodegeneration (PLAN)","Patient education (eg. Patient education conferences, continuing educational resources), External disease awareness, Basic research (how the disease works), New drug development",A set of diseases,PLA2G6-related neurodegeneration,Yes,2016,"Patient's loved one (parent, spouse, etc).",Loved one,Leena and Anil Panwala,N/A,Yes (the organization utilizes a biobank),Yes,Yes (the organization utilizes a natural history study),Yes,Yes,Unknown (the organization does not mention crowdsourcing),Yes,Unknown (the organization does not mention treatment guidelines),Yes,"Global Genes (Rare Foundation Alliance), Chan Zuckerberg Initiative's Rare as One Cohort"
IndoUSrare - General Support Organization,https://www.indousrare.org/,admin@indousrare.org,N/A,United States of America,N/A,"Basic research (how the disease works), Policy development and advocacy, Health data collection in India",A set of diseases,Rare diseases NOS,Yes,2019,Researcher,Researcher,"Founder: Harsha Rajasimha
see Zotero folder for story",N/A,Unknown (the organization does not mention a biobank),Yes,Unknown (the organization does not mention either),Unknown (the organization does not mention a community discussion platform),Yes,Unknown (the organization does not mention crowdsourcing),Unknown (the organization does not mention a SAB/MAB),Unknown (the organization does not mention treatment guidelines),Unknown (the organization does not mention an annual conference),None Listed
Intermountain PKU and Allied Disorders Association – Phenylketonuria and allied disorders,https://ipadutah.org/,https://ipadutah.org/contact-us/,N/A,United States of America,"Dedicated to providing support and services to
individuals and families with PKU and allied disorders.","Patient community development (eg. Communications, community connection with patients and loved ones), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines)",A set of diseases,Phenylketonuria,Yes,2008,"Patient, Patient's loved one (parent, spouse, etc).","Patient, Loved one",Amy Oliver,N/A,Unknown (the organization does not mention a biobank),Unknown (the organization does not mention whether they collect this information or not),Unknown (the organization does not mention either),Yes,Unknown (the organization does not mention a research agenda),Unknown (the organization does not mention crowdsourcing),Unknown (the organization does not mention a SAB/MAB),Unknown (the organization does not mention treatment guidelines),Unknown (the organization does not mention an annual conference),Global Genes (Rare Foundation Alliance)
International Advocate For Glycoprotein Storage Diseases,https://www.ismrd.org/,info@ismrd.org,N/?A,United States of America,"ISMRD is the leading advocate for families worldwide affected by a Glycoprotein Storage Disease. Through partnerships built with medicine, science and industry, we seek to detect and cure these diseases, and to provide a global network of support and information.
We seek a future in which children with Glycoprotein Storage Diseases can be detected early, treated effectively, and go on to live long, healthy and productive lives.","Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines), Fundraising efforts",A set of diseases,Glycogen Storage Diseases,Yes,1999,"Patient's loved one (parent, spouse, etc).",Loved one,Paul and Debora Murphy,N/A,Unknown (the organization does not mention a biobank),Yes,Yes (the organization utilizes a natural history study),Unknown (the organization does not mention a community discussion platform),Unknown (the organization does not mention a research agenda),Unknown (the organization does not mention crowdsourcing),Yes,Unknown (the organization does not mention treatment guidelines),Unknown (the organization does not mention an annual conference),None Listed
International Autoimmune Encephalitis Society,https://autoimmune-encephalitis.org/,IAES@AUTOIMMUNE-ENCEPHALITIS.ORG,N/A,United States of America,"advance services, education, increased awareness and research for this group of diseases","Patient education (eg. Patient education conferences, continuing educational resources), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines), Patient financial support (eg. financial assistance for medical travel/expenses, genetic testing, DME costs)",A set of diseases,Autoimmune encephalitis,Yes,2016,Unknown,Unknown,"Tabitha Andrews Orth, Gene Desotell and Anji Hogan-Fesler",N/A,Unknown (the organization does not mention a biobank),Unknown (the organization does not mention whether they collect this information or not),Unknown (the organization does not mention either),Unknown (the organization does not mention a community discussion platform),Unknown (the organization does not mention a research agenda),Unknown (the organization does not mention crowdsourcing),Yes,Yes,Unknown (the organization does not mention an annual conference),NORD
International Cystinuria Foundation,https://cystinuria.org/,info@cystinuria.com,N/A,United States of America,"None Found.
The International Cystinuria Foundation works to educate about, fundraise for, and research Cystinuria.","Patient education (eg. Patient education conferences, continuing educational resources), Basic research (how the disease works), New drug development, Fundraising efforts",One specific disease,Cystinuria,Yes,2006,Unknown,Unknown,N/A,N/A,Yes (the organization utilizes a biobank),Yes,Yes (the organization utilizes a natural history registry),Yes,Unknown (the organization does not mention a research agenda),N/A (the organization doesn't have or doesn't mention a research agenda),Unknown (the organization does not mention a SAB/MAB),Yes,Yes,Global Genes (Rare Foundation Alliance)
International Essential Tremor Foundation,https://essentialtremor.org/,info@essentialtremor.org,N/A,United States of America,The organization plans on increasing awareness regarding Essential Tremor (ET) as well as supporting research targeted towards the discovery of potential treatments.,"Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines), Fundraising efforts",One specific disease,Essential Tremor,Yes,2017,Unknown,Unknown,Not listed,N/A,Unknown (the organization does not mention a biobank),Unknown (the organization does not mention whether they collect this information or not),Unknown (the organization does not mention either),Unknown (the organization does not mention a community discussion platform),Unknown (the organization does not mention a research agenda),Unknown (the organization does not mention crowdsourcing),Yes,Unknown (the organization does not mention treatment guidelines),Unknown (the organization does not mention an annual conference),None Listed
"International Firefighter Cancer Foundation, Inc. – Multiple Rare Cancers",https://firefightercancersupport.org/,info@fcsn.net,N/A,United States of America,"To assist firefighters and EMS providers and their immediate families diagnosed with cancer by providing badge to badge support, training and guidance.","Patient financial support (eg. financial assistance for medical travel/expenses, genetic testing, DME costs), Fundraising efforts, Policy development and advocacy",A set of diseases,Rare cancers NOS,Yes,2005,Patient,Patient,Michael Dubron,N/A,Unknown (the organization does not mention a biobank),Yes,Yes (the organization utilizes a natural history registry),Unknown (the organization does not mention a community discussion platform),Unknown (the organization does not mention a research agenda),Unknown (the organization does not mention crowdsourcing),Yes,Unknown (the organization does not mention published treatment guidelines),Unknown (the organization does not mention an annual conference),None Listed
International FOP Association,https://www.ifopa.org/,"together@ifopa.org
https://ifopa.formstack.com/forms/email_signup",N/A,United States of America,"Our mission is to fund research to find a cure for FOP while supporting, connecting and advocating for individuals with FOP and their families, and raising awareness worldwide.","Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines), Basic research (how the disease works), New drug development, Fundraising efforts",One specific disease,Fibrodysplasia ossificans progressiva,Yes,1988,Patient,Patient,Jeannie L Peeper,N/A,Yes (the organization utilizes a biobank),Unknown (the organization does not mention whether they collect this information or not),Yes (the organization utilizes a natural history registry),Yes,Unknown (the organization does not mention a research agenda),Unknown (the organization does not mention crowdsourcing),Yes,Yes,Unknown (the organization does not mention an annual conference),"NORD, Global Genes (Rare Foundation Alliance), Guidestar"
International Foundation for Autoimmune and Autoinflammatory Arthritis,https://www.aiarthritis.org/,info@AiArthritis.org,tiffany@AIArthritis.org,United States of America,"The International Foundation for Autoimmune & Autoinflammatory Arthritis (AiArthritis )  helps those, like us, who are affected by autoimmune and autoinflammatory diseases with arthritis as a major component, use their voices - as equals alongside other stakeholders - to solve problems that impact education, advocacy, and research.

We expand this mission into every project we work on. We always use a patient-led team approach , then enlist the help of other stakeholders and professionals, to produce strong solutions with high impact.   (""Global Network philosophy"").","Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines), Basic research (how the disease works), Fundraising efforts, Policy development and advocacy",A set of diseases,Autoimmune/Autoinflammatory Arthritis,Yes,2011,Patient,Patient,"Tiffany Westrich-Robertson, Tami Caskey Brown and Amanda John were original co-founders,",N/A,Unknown (the organization does not mention a biobank),Yes,Unknown (the organization does not mention either),Unknown (the organization does not mention a community discussion platform),Yes,Yes,Unknown (the organization does not mention a SAB/MAB),Unknown (the organization does not mention published treatment guidelines),Unknown (the organization does not mention an annual conference),Guidestar
International Foundation for CDKL5 Research,https://www.cdkl5.com/,info@cdkl5.com,N/A,United States of America,"To treat and cure CDKL5 Deficiency Disorder by funding scientific research, while helping affected individuals and their families to thrive.

The IFCR is committed to funding research, both scientific and clinical, that will bring about treatments and, ultimately, a cure for CDKL5. We strive to raise awareness of this rare disorder within the medical and lay communities.

Above all, we seek to support all CDKL5 families and caregivers, whether newly diagnosed or well into adulthood, by providing the most current information on treatment advances and how to live their best life possible.","Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines), External disease awareness, Basic research (how the disease works), Fundraising efforts",One specific disease,CDKL5 Deficiency Disorder,Yes,2009,"Patient's loved one (parent, spouse, etc).",Loved one,"a group of parents: One of them is Karen Utley, President & Co-Founder","If an appropriate  cdkl5  loss-of-function  zebrafish  model  for  epileptic seizures  is  generated,  future  studies  will  screen  libraries  of approved  FDA  drugs  for  repurposing  as  potential  therapies  for CDKL5 disorder. This high-throughput screening approach allows for  rapid  movement  of  a  new  drug  discovery  to  the  clinic  as previously  demonstrated  by  Dr.  Baraban’s  group  with  the identification of an FDA-approved compound originally identified in a zebrafish model of Dravet syndrome that has since shown https://www.cdkl5.com/wp-content/uploads/2018/04/CDKL5-Voices-Spring-2018.pdf",Yes (the organization utilizes a biobank),Yes,Yes (the organization utilizes a natural history registry),Yes,Yes,Unknown (the organization does not mention crowdsourcing),Yes,Yes,Yes,NORD
International FOXG1 Foundation,https://foxg1.org/,info@foxg1.org,N/A,United States of America,"Our Mission is to provide hope and support to individuals with FOXG1 and their families via any means possible, to facilitate discussion and fund research within the medical community, and to bring awareness and education to the public","Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines), Fundraising efforts",One specific disease,FOXG1 syndrome,Yes,2012,"Patient's loved one (parent, spouse, etc).",Loved one,six families who have children afflicted with a FOXG1 mutation. https://foxg1.org/mission-and-board-of-directors/ lists two Founding Board Members: Stefanie Helms and Ileana Giordani.,N/A,Unknown (the organization does not mention a biobank),Yes,Yes (the organization utilizes a natural history study),Yes,Yes,Unknown (the organization does not mention crowdsourcing),Yes,Unknown (the organization does not mention published treatment guidelines),Unknown (the organization does not mention an annual conference),Global Genes (Rare Foundation Alliance)
International FPIES Association,https://www.fpies.org/,contact@fpies.org,N/A,United States of America,"The International FPIES Association (I-FPIES) is a 501(c)3 patient organization dedicated to improving the diagnosis, treatment and quality of life for those with FPIES through advocacy, education, support, and research.

I-FPIES strives to be the worldwide leader in FPIES awareness and the issues surrounding this condition. We seek to increase awareness by providing educational resources, support services, advocacy, and the development of groundbreaking research through our partnership with the medical community.","Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines), External disease awareness, Basic research (how the disease works), Fundraising efforts",One specific disease,Food protein-induced enterocolitis syndrome,Yes,2020,Unknown,Unknown,Fallon Schultz,N/A,Unknown (the organization does not mention a biobank),Yes,Unknown (the organization does not mention either),Unknown (the organization does not mention a community discussion platform),Yes,Unknown (the organization does not mention crowdsourcing),Yes,Yes,Unknown (the organization does not mention an annual conference),NORD
International Neuroendocrine Cancer Alliance,https://incalliance.org/,post@incalliance.org,N/A,United States of America,"A world where all patients with neuroendocrine cancer and genetic neuroendocrine tumors (NETs), get a timely diagnosis, optimal treatment, support and care and ultimately a cure.","Patient education (eg. Patient education conferences, continuing educational resources), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines), Fundraising efforts",A set of diseases,neuroendocrine cancer and genetic neuroendocrine tumors (NETs),Yes,2013,Unknown,Unknown,N/A,N/A,Unknown (the organization does not mention a biobank),Yes,Yes (the organization utilizes a natural history registry),Unknown (the organization does not mention a community discussion platform),Yes,Unknown (the organization does not mention crowdsourcing),Yes,Yes,Yes,None Listed
International Pemphigus & Pemphigoid Foundation,https://www.pemphigus.org/,info@pemphigus.org,janet@pemphigus.org,United States of America,Our mission is to improve the quality of life for all those affected by pemphigus and pemphigoid through early diagnosis and support.,"Patient education (eg. Patient education conferences, continuing educational resources), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines), Basic research (how the disease works), Fundraising efforts, Policy development and advocacy",A set of diseases,"pemphigus, pemphigoid",Yes,1994,Patient,Patient,Janet Segall,Much of the Advocacy (https://www.pemphigus.org/tag/advocacy/ and https://www.pemphigus.org/tag/washington/ and https://www.pemphigus.org/repurposing-drugs-matters-with-rare-disease/) mentions repurposing or off-label usage.,Unknown (the organization does not mention a biobank),Yes,Yes (the organization utilizes a natural history registry),Yes,Unknown (the organization does not mention a research agenda),Unknown (the organization does not mention crowdsourcing),Yes,Yes,Unknown (the organization does not mention an annual conference),"NORD, Guidestar"
International Rett Syndrome Foundation,https://www.rettsyndrome.org,admin@rettsyndrome.org,N/A,United States of America,"To accelerate full spectrum research to cure Rett syndrome and empower families with information, knowledge and connectivity.","Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones), External disease awareness, Basic research (how the disease works), New drug development, Drug Repurposing, Fundraising efforts",One specific disease,Rett Syndrome,Yes,1983,"Patient's loved one (parent, spouse, etc).",Loved one,N/A,"Indeed, a variety of drugs that can either suppress unwanted or stimulate favorable immune cell activity already exist. As such, any novel Rett syndrome treatment approaches that stem from De Witte’s work could simply involve the repurposing of one of these established medicines rather than the time-consuming creation of a new one. De Witte’s research might also lead to new considerations for or insights into treatments currently in development. For example, it could help explain how the drug Trofenitide, which is known to affect microglia, may improve the symptoms of Rett syndrome. https://www.rettsyndrome.org/research/our-research/inside-the-lab/inside-the-lab-with-lotje-de-witte/ The safety and effectiveness of experimental medicines are not fully known. Typically, physicians prescribe FDA-approved medicines whose side effects and benefits have been studied. However this can involve “off label” use, which means the medication, may not have been tested in the context of the patient’s particular condition (e.g. Rett syndrome) or age group. https://www.rettsyndrome.org/wp-content/uploads/Clinical-Trial-Guide-for-Participants-2019.pdf",Yes (the organization utilizes a biobank),Yes,"Yes (the organization utilizes a natural history study), Yes (the organization utilizes a natural history registry)",Unknown (the organization does not mention a community discussion platform),Yes,Unknown (the organization does not mention crowdsourcing),Yes,Unknown (the organization does not mention published treatment guidelines),Yes,"Global Genes, REN, Rare Diseases Clinical research network, NORD, Rett Consortium, NIH, American Brain Coalition, CheckOrphan, CDMRP, NHICHD, RMRA, Rett Syndrome Angels, NJRSA, Midwest Rett Syndrome FOundation, Northwest Rett Syndrom Association, Ontatio Rett Syndrome Associatio, Pro Rett Ricerca, Mecp2 Duplication Foundation, T.s. & Juanita Ballance Foundation, THhe Hallowell Fund, Ella Foard Foundation for Rett Syndrome, ALbemarle Foundation."
International Sacral Agenesis/Caudal Regression Association (iSACRA),https://isacra.org/,"contact@isacra.org
E-mail: contact@isacra.org (general questions/inquiries regarding the organization)
E-mail: phyllis.rogers@isacra.org (questions/inquiries regarding the website)",Not given,United States of America,iSACRA provides support and information to persons with sacral agenesis/caudal regression syndrome and their families worldwide. iSACRA promotes awareness and collaborates in research and advocacy to enhance the quality of life of persons with this condition and to advance medical knowledge.,"Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines), Patient financial support (eg. financial assistance for medical travel/expenses, genetic testing, DME costs), External disease awareness, Fundraising efforts, Policy development and advocacy",One specific disease,iSACRA provides support and information to persons with sacral agenesis/caudal regression syndrome and their families worldwide. iSACRA promotes awareness and collaborates in research and advocacy to enhance the quality of life of persons with this condition and to advance medical knowledge.,Yes,2012,"Patient, Patient's loved one (parent, spouse, etc).","Patient, Loved one","Jessica Rogers, Jahna Berry,",N/A,Unknown (the organization does not mention a biobank),Yes,Unknown (the organization does not mention either),Yes,Unknown (the organization does not mention a research agenda),Unknown (the organization does not mention crowdsourcing),Yes,Unknown (the organization does not mention published treatment guidelines),Yes,NORD
International WAGR Syndrome Association,https://wagr.org,reachingout@wagr.org,Chairperson Kelly Trout email not known,United States of America,"The mission of the IWSA is to 
PROMOTE AWARENESS, STIMULATE RESEARCH, and  SUPPORT FAMILIES 
affected by WAGR syndrome","Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines), Basic research (how the disease works), Fundraising efforts, Policy development and advocacy",One specific disease,"Promote Awareness
Stimulate Research
Support Families",Yes,2011,Unknown,Unknown,not given,N/A,Unknown (the organization does not mention a biobank),Yes,Yes (the organization utilizes a natural history study),Yes,Yes,Unknown (the organization does not mention crowdsourcing),Yes,Unknown (the organization does not mention published treatment guidelines),Yes,None Listed
International Waldenstrom’s Macroglobulinemia Foundation,https://iwmf.com/,office@iwmf.com,"Peter DeNardis,  Chair of the Board, Aliquippa, PA, pdenardis@gmail.com",United States of America,Support and educate everyone affected by Waldenstrom's macroglobulinemia (WM) while advancing the search for a cure.,"Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines), Basic research (how the disease works), New drug development, Fundraising efforts, Policy development and advocacy",One specific disease,Waldenstrom's macroglobulinemia (WM),Yes,1994,Patient,Patient,Arnold Smokler,"Now there is a drug. ""Imbruvica (ibrutinib) was approved by the US Food and Drug Administration on January 29, 2015, as the first drug specifically designated for the treatment of WM. "" https://iwmf.com/treatment/ But, there are also articles they link to that mention off-label use as well, even through they appear newer than 2015. For example: https://iwmf.com/wp-content/uploads/2020/10/AcalabrutinibFactSheet-English.pdf https://iwmf.com/wp-content/uploads/2020/10/ZanubrutinibFactSheet-English.pdf https://iwmf.com/wp-content/uploads/2021/10/IxazomibFactSheet-English-August-2021-final.pdf https://iwmf.com/wp-content/uploads/2020/10/Reeder_Map_Current_Treatment_Options.pdf https://iwmf.com/wp-content/uploads/2020/10/Reeder_Map_Current_Treatment_Options.pdf https://iwmf.com/wp-content/uploads/2021/02/TargetedTherapies-PathwayInhibitors-English.pdf https://iwmf.com/wp-content/uploads/2021/08/Monoclonal-Antibodies-English-Not-Highlighted-August_11_2021-.pdf https://iwmf.com/wp-content/uploads/2021/08/TargetedTherapies-English-August-11_21-final-not-highlighted-Copy.pdf",Unknown (the organization does not mention a biobank),Yes,"Yes (the organization utilizes a natural history study), Yes (the organization utilizes a natural history registry)",Yes,Yes,Unknown (the organization does not mention crowdsourcing),Yes,Yes,Yes,NORD
IRF2BPL Foundation - IRF2BPL Disorder,https://irf2bpl.zohosites.com/,irf2bpl@gmail.com,loren.pena@cchmc.org,United States of America,"IRF2BPL Foundation, together with Stand By Eli Foundation, is dedicated to raise awareness and research funds to save children with IRF2BPL disorders.",Basic research (how the disease works),One specific disease,IRF2BPL-related disorders,Yes,2019,"Researcher, Physician","Researcher, Physician","Dr.  Loren DM Pena, MD, PhD,  Clinical Geneticist and Associate Professor at Cincinnati Children's Hospital",N/A,Unknown (the organization does not mention a biobank),Unknown (the organization does not mention whether they collect this information or not),Yes (the organization utilizes a natural history study),Unknown (the organization does not mention a community discussion platform),Yes,Unknown (the organization does not mention crowdsourcing),Unknown (the organization does not mention a SAB/MAB),Unknown (the organization does not mention treatment guidelines),Unknown (the organization does not mention an annual conference),None Listed
ISMRD,https://www.ismrd.org/,info@ismrd.org,N/A,United States of America,"ISMRD is the leading advocate for families worldwide affected by a Glycoprotein Storage Disease. Through partnerships built with medicine, science and industry, we seek to detect and cure these diseases, and to provide a global network of support and information.","Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines), Basic research (how the disease works), Fundraising efforts",A set of diseases,There are about 10 Glycoprotein Storage Diseases,Yes,1999,"Patient's loved one (parent, spouse, etc).",Loved one,Paul and Debora Murphy,N/A,Unknown (the organization does not mention a biobank),Yes,"Yes (the organization utilizes a natural history study), Yes (the organization utilizes a natural history registry)",Yes,Yes,Unknown (the organization does not mention crowdsourcing),Yes,Unknown (the organization does not mention treatment guidelines),Yes,NORD
Jack McGovern Coats Disease Foundation,https://coatsdiseasefoundation.org/,contact@curecoats.org,N/A,United States of America,"Our Mission is to raise funds to support research, raise awareness, expand patient resources, and offer all Coats’ Disease patients hope and improvements as they wage a lifelong battle against Coats’ Disease and blindness. 

Our Goals are to Raise Funds; Build Awareness; Fund Research; and Build Patient Resources.","Patient education (ex. Flyers, patient education conferences), Patient support (ex. Communication, community connection), Disease awareness, Patient advocacy (ex. connecting patients to physicians), Basic research, Drug development/repurposing (ex. Working to secure access to drugs), Fundraising efforts",One specific disease,Coats' disease,Yes,2006,Parent of a patient,Loved one,Tina and Ed McGovern,Avastin (bevacizumab;Genentech) injections used off-label to block VEGF,Yes (the organization utilizes a biobank),Yes,Yes (the organization utilizes a natural history registry),Unknown (the organization does not mention a community discussion platform),Unknown (the organization does not mention a research agenda),No (the organization doesn't have or doesn't mention a research agenda),Yes,Unknown (the organization does not mention published treatment guidelines),Unknown (the organization does not mention an annual conference),"NORD, Guidestar"
Jain Foundation - Limb Girdle Muscular Dystrophy type 2B/R2/Mioyshi Myopathy/Dysferlinopathy,https://www.jain-foundation.org/,admin/scientific: admin@jain-foundation.org; clinician/patient: patients@jain-foundation.org,N/A,United States of America,The Jain Foundation’s mission is to cure muscular dystrophies caused by dysferlin protein deficiency.,"Patient education (ex. Flyers, patient education conferences), Patient advocacy (ex. connecting patients to physicians), Basic research",A set of diseases,"The set of dystrophies called dysferlinopathy, also referred to as LGMD2B, LGMDR2, or Miyoshi Myopathy 1 (MM1).",Yes,2005,"Patient, Parent of a patient","Patient, Loved one",Ajit and Akshay Jain,N/A,Yes (the organization utilizes a biobank),Yes,Yes (the organization utilizes a natural history study),Unknown (the organization does not mention a community discussion platform),Yes,Unknown (the organization does not mention crowdsourcing),Yes,Yes,Yes,None Listed
